fixture,family,tier,intended_axis,input_param,swept_unit,swept_value,unit_count,axis_count,storage_read,storage_write,storage_application,merkle_leaf_count,state_diff_count,event,far_call,precompile_call,arith_ptr_op,uma_read,uma_write,keccak256_cycles,ergs_used,pubdata,n_txs,real_l1_batch,bytes,status
900357,arith_ptr_op,slice_100k,arith_ptr_op,"slices=100000,data=256B",slices,100000,100000,100300,34,23,61,53,10,13,65,27,100300,100514,655,31,6830211,319,1,1289,245922,"ok (bound: 1.0000 ptr op + 1.0000 uma_read per slice, ratio stable)"
900358,arith_ptr_op,slice_300k,arith_ptr_op,"slices=300000,data=256B",slices,300000,300000,300300,34,23,61,53,10,13,65,27,300300,300514,655,31,20229847,291,1,1291,246107,"ok (bound: 1.0000 ptr op + 1.0000 uma_read per slice, ratio stable)"
900359,arith_ptr_op,slice_550k,arith_ptr_op,"slices=550000,data=256B",slices,550000,550000,550300,34,23,61,53,10,13,65,27,550300,550514,655,31,36979847,291,1,1292,246325,"ok (bound: 1.0000 ptr op + 1.0000 uma_read per slice, ratio stable)"
900360,arith_ptr_op,slice_800k,arith_ptr_op,"slices=800000,data=256B",slices,800000,800000,800300,34,23,61,53,10,13,65,27,800300,800514,655,31,53729847,291,1,1290,246431,"ok (bound: 1.0000 ptr op + 1.0000 uma_read per slice, ratio stable)"
900361,arith_ptr_op_nest,nest_100k,arith_ptr_op,"nested_slices=100000,data=256B",slices,100000,100000,300,34,23,61,53,10,13,65,27,300,514,655,31,7329512,263,1,1293,246472,DEAD: zksolc folded the nested slices -- arith_ptr_op flat at 300 across all tiers; usable only as an extra arith row
900362,arith_ptr_op_nest,nest_350k,arith_ptr_op,"nested_slices=350000,data=256B",slices,350000,350000,300,34,23,61,53,10,13,65,27,300,514,655,31,25329506,263,1,1294,246372,DEAD: zksolc folded the nested slices -- arith_ptr_op flat at 300 across all tiers; usable only as an extra arith row
900363,arith_ptr_op_nest,nest_700k,arith_ptr_op,"nested_slices=700000,data=256B",slices,700000,700000,300,34,23,61,53,10,13,65,27,300,514,655,31,50529512,263,1,1295,246050,DEAD: zksolc folded the nested slices -- arith_ptr_op flat at 300 across all tiers; usable only as an extra arith row
900364,storage_read_raw,raw_cold_8k,storage_read,raw_cold_distinct_slots=8000,slots,8000,8000,8034,8034,23,8061,8053,9,13,65,27,299,495,637,27,16384538,254,1,1297,3847801,ok
900365,storage_read_raw,raw_cold_18k,storage_read,raw_cold_distinct_slots=18000,slots,18000,18000,18034,18034,23,18061,18053,9,13,65,27,299,495,637,27,36704538,254,1,1298,8347964,ok
900366,storage_read_raw,raw_cold_28k,storage_read,raw_cold_distinct_slots=28000,slots,28000,28000,28034,28034,23,28061,28053,9,13,65,27,299,495,637,27,57024532,254,1,1299,12856166,ok
900367,storage_read_raw_warm,raw_warm_60k,storage_read,raw_warm_same_slot=60000,slots,60000,60000,60034,60034,23,62,54,9,13,65,27,299,495,637,27,4210514,254,1,1300,247561,ok
900368,storage_read_raw_warm,raw_warm_200k,storage_read,raw_warm_same_slot=200000,slots,200000,200000,200034,200034,23,62,54,9,13,65,27,299,495,637,27,13730514,254,1,1301,250208,ok
900369,storage_write_raw,raw_w_500,storage_write,raw_distinct_slots=500,slots,500,500,522,34,522,1059,552,509,13,65,27,299,495,637,27,3127303,18754,1,1302,599524,ok
900370,storage_write_raw,raw_w_2000,storage_write,raw_distinct_slots=2000,slots,2000,2000,2022,34,2022,4059,2052,2009,13,65,27,299,495,637,27,12140197,74254,1,1303,1674738,ok
900371,storage_write_raw,raw_w_4000,storage_write,raw_distinct_slots=4000,slots,4000,4000,4022,34,4022,8059,4052,4009,13,65,27,299,495,637,27,24157403,148254,1,1304,3137343,ok
900372,ecpairing,pairs_per_call=1,ec_pairing_cycles,pairs_per_call=1,pairs_per_call,1,100,100,35,23,63,54,11,13,165,127,603,1519,1562,31,8222910,265,1,1306,249127,ok (axis carries PAIRS: 100/100 = 1.0000 per pair)
